Land;Kategorie;Kriterium;Regionaler Status;Kommentar;Interpretierter Status;URL
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133375694/133375696
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133375724/133375726
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133375734/133375736
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133376831/133376833
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133375923/133375925
;Near Threatened;;;;;http:/www.iucnredlist.org/species/61914151/61914153
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133375988/133375990
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133381268/133381270
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133376731/133376733
;Near Threatened;;;;;http:/www.iucnredlist.org/species/61914655/61914659
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133373542/133373544
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133373522/133373524
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133373512/133373514
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133378823/133378825
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133376098/133376100
;Near Threatened;;;;;http:/www.iucnredlist.org/species/61915612/61915614
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133376211/133376213
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133374013/133374015
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133372856/133372858
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133374133/133374135
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133374163/133374165
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133379522/133379524
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133379592/133379594
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133379622/133379626
;Near Threatened;;;;;http:/www.iucnredlist.org/species/61915765/61915774
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133372734/133372736
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133372714/133372716
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133372704/133372706
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133376962/133376964
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133374218/133374220
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133376921/133376923
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133376911/133376913
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133376972/133376974
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133377033/133377035
;Near Threatened;;;;;http:/www.iucnredlist.org/species/61916119/61916149
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133377134/133377136
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133377154/133377156
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133374441/133374443
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133374461/133374463
