ID;Instrument groups;Instruments;Main part;Subpart;Trade name;Family;Genus;Species;IUCN Red list of protected species;CITES regulation;Occurance
82;Percussion instruments;Woodblock;;;;;;;;;
83;Percussion instruments;Tambourine;;;;;;;;;
84;Percussion instruments;Xylophone;;bars;rosewood;Leguminosae / Fabaceae;Dalbergia ;stevensonii;;Appendix II;
85;Percussion instruments;;Mallets;Stick (Rattan, Weißbuche oder Hickory);;;;;;;
86;Percussion instruments;;;Head ball (Palisander);palisander;Leguminosae / Fabaceae;Dalbergia spp.;;;Appendix II;
87;Percussion instruments;Marimbaphone;;Bars;rosewood;Leguminosae / Fabaceae;Dalbergia ;stevensonii;;Appendix II;
88;Percussion instruments;Marimbaphone;;;padouk;Leguminosae / Fabaceae;Pterocarpus;;;Appendix II (Pterocarpus erinaceus, Pterocarpus santalinus, Pterocarpus tinctorius);
89;Percussion instruments;Marimbaphone;;;bubinga;Leguminosae / Fabaceae;Guibourtia ;demeusei;;Appendix II;
90;Percussion instruments;Marimbaphone;;;Mahagoni;Meliaceae;Cedrela;;;Appendix II (populations of the neotropics into effect 28.08.2020);
91;Percussion instruments;Marimbaphone;;Resonators;;;;;;;
92;Percussion instruments;Marimbaphone;;Mallets;;;;;;;
93;Plucked instruments;Harps;;xxx;;;;;;;
94;Plucked instruments;;;;;;;;;;
95;Plucked instruments;;;;;;;;;;
96;Plucked instruments;Guitar;;belly;spruce;;;;;;
97;Plucked instruments;;;;xxx;;;;;;
98;Plucked instruments;;;back;rio-palisander;;;;;;
99;Plucked instruments;;;;palisander;;;;;;
100;Plucked instruments;;;;xxx;;;;;;
101;Plucked instruments;;;;xxx;;;;;;
102;Plucked instruments;;;ribs;;;;;;;
103;Plucked instruments;;;;;;;;;;
104;Plucked instruments;;;Resonanzbalken;spruce;;;;;;
105;Plucked instruments;;;Fingerboard;;;;;;;
106;Plucked instruments;;;neck and head;;;;;;;
107;Plucked instruments;;;;;;;;;;
108;Keyboard instrument;Grand piano/piano;;Resonanzboden;spruce;Pinaceae;Picea ;abies;;;
109;Keyboard instrument;;;keyboard;spruce;;;;;;
110;Keyboard instrument;;;;linde;;;;;;
111;Keyboard instrument;;;;pappel;;;;;;
112;Keyboard instrument;;;White key coat ;Knochen;;;;;;
113;Keyboard instrument;;;;Mammut Elfenbein;Elephantidae;Mammuthus;;;;
114;Keyboard instrument;;;Black key coat ;Ebenholz;Ebenaceae;Diosypros spp.;;;;
115;Keyboard instrument;;;;Grenadill;Leguminosae / Fabaceae;Dalbergia;melanoxylon;;;
116;Keyboard instrument;Cembalo;;;;;;;;;
117;Keyboard instrument;Celesta;;;;;;;;;
118;Keyboard instrument;Pipe organ;;;;;;;;;
